id,title,city,locality,area_sqft,bhk,floor,total_floors,furnished,amenities,latitude,longitude,rent_per_month,maintenance,deposit,listed_on,contact_available,url
50f0e0fb-cdd5-4cff-bbad-d4455025005f,3 BHK Flat in Mumbai - Area 2143.5 sq.ft,Mumbai,Malad,2143.5,3,22,20,Furnished,,18.83049,72.907556,18798.05,2805,93990,2025-03-15,True,https://example.com/listing/0
1cf5d007-7902-4fed-b754-7fc05d68afa9,3 BHK Flat in Mumbai - Area 1221.2 sq.ft,Mumbai,Goregaon,1221.2,3,13,20,Unfurnished,Garden|Parking|PowerBackup|Gym,18.989573,72.908858,8150.24,6584,24451,2025-03-31,True,https://example.com/listing/1
3248c771-272c-4a0e-b4c7-4d04e0cc5a0b,3 BHK Flat in Mumbai - Area 2114.2 sq.ft,Mumbai,Malad,2114.2,3,22,10,Semi-Furnished,,18.907786,72.984937,16976.11,789,67904,2025-03-22,True,https://example.com/listing/2
403f3e2a-236b-40b0-87b7-068a577d4081,2 BHK Flat in Mumbai - Area 2324.9 sq.ft,Mumbai,Mahim,2324.9,2,3,10,Furnished,,18.973158,72.895467,12709.98,5338,63550,2025-04-22,False,https://example.com/listing/3
39134ffa-1cce-4c73-8bdc-2f79e102135f,3 BHK Flat in Mumbai - Area 732.2 sq.ft,Mumbai,Powai,732.2,3,11,5,Unfurnished,,18.81079,72.803069,3128.05,5296,15640,2025-10-17,True,https://example.com/listing/4
b759678e-86b4-4730-831b-d9f594801ddc,2 BHK Flat in Mumbai - Area 464.3 sq.ft,Mumbai,Goregaon,464.3,2,23,10,Unfurnished,Pool|Gym,19.091672,72.780229,2550.4,3133,10202,2025-09-11,True,https://example.com/listing/5
a0191d8b-b19c-4a8d-8837-5baca67352ca,2 BHK Flat in Mumbai - Area 1894.0 sq.ft,Mumbai,Andheri,1894.0,2,27,6,Semi-Furnished,PowerBackup|Pool,18.966323,72.660834,16431.36,2792,49294,2025-01-17,True,https://example.com/listing/6
0bff0c1c-96a8-4bda-8b85-59619b395a1c,3 BHK Flat in Mumbai - Area 714.7 sq.ft,Mumbai,Powai,714.7,3,20,7,Semi-Furnished,Lift,18.885981,72.96626,3869.58,2306,19348,2025-12-08,False,https://example.com/listing/7
931e1ac5-c551-4d6d-80dd-a7f3d2e92f22,1 BHK Flat in Mumbai - Area 1859.4 sq.ft,Mumbai,Dadar,1859.4,1,24,7,Semi-Furnished,Gym|Parking|ClubHouse|Security,19.187399,72.843277,10042.48,4905,40170,2025-05-03,True,https://example.com/listing/8
fb52b926-cd49-421e-b250-0194e0abc2b9,1 BHK Flat in Mumbai - Area 2050.9 sq.ft,Mumbai,Andheri,2050.9,1,20,20,Furnished,Lift|ClubHouse,18.833778,72.666944,12709.71,2634,50839,2025-12-06,True,https://example.com/listing/9
